Name,"NCBI GI","Uniprot Accession"
501423,116492587,
501424,39996864,
501426,17546941,
501427,42525706,
501428,34557907,
501429,58038726,
501430,56698177,
501432,33600896,
501433,29827982,
501434,19551857,
501436,29830799,
501438,39933601,
501439,16130776,
501440,,
501441,66362368,
501442,29830987,
501443,161511209,
501445,29828195,
501446,73662585,
501447,118470949,
501448,183984775,
501449,15805956,
501450,15898462,
501451,46581581,
501452,39996419,
501453,16132205,
501454,29144847,
501455,16081558,
501456,87199831,
501457,55378779,
501459,15963885,
501460,116513889,
501461,21227869,
501462,28377915,
501463,15805888,
501464,16801851,
501466,126461027,
501467,15806412,
501470,66360327,
501471,110799019,
501472,29831407,
501473,29829539,
501474,34499409,
501475,109900187,
501476,145594323,
501477,89899152,
501478,72163061,
501480,182436671,
501481,29827670,
501482,29827606,
501483,16766836,
501484,182435634,
501485,163846097,
501486,55377016,
501487,15594659,
501490,119715591,
501491,183983509,
501492,42527045,
501493,26991806,
501495,16082302,
501496,39934585,
501497,117927473,
501498,222102121,
501499,220914284,
501500,152970286,
501504,17545711,
501506,37523627,
501508,91790992,
501509,91786444,
501512,86355825,
501513,29832860,
501514,15887533,
501515,15610052,
501517,114797655,
501518,29345613,
501519,16767691,
501520,15887522,
501521,29829232,
501522,16264585,
501523,34499413,
501525,120553165,
501527,66363260,
501528,183982770,
501529,183980886,
501533,77465386,
501534,126463789,
501541,91788958,
501543,115360135,
501544,126697718,
501546,126701156,
501549,86357124,
501550,66357454,
501552,126701234,
501553,29829548,
501554,15898612,
501555,49176276,
501556,183980172,
501557,39933779,
501558,16130773,
501560,118467815,
501562,152977899,
501564,115359345,
501569,91789818,
501570,16130774,
501571,219858656,
501572,26248341,
501576,229223546,
501577,117927259,
501578,29346242,
501579,119961412,
501581,66475632,
501582,15607216,
501583,133914090,
501584,66362098,
501585,26108229,
501586,26991587,
501588,55378258,
501589,55379032,
501590,28379979,
501591,86157932,
501592,109896622,
501593,71737005,
501594,74016924,
501595,154244602,
501596,118471057,
501597,45656357,
501598,15612748,
501599,227419005,
501602,66363140,
501604,121610272,
501605,159186280,
501606,89899734,
501607,60681432,
501609,16130777,
501610,73662961,
501611,71279124,
501612,66363226,
501614,15614408,
501615,110799120,
501617,26986786,
501618,26988777,
501620,26991815,
501621,66361684,
501622,26990952,
501624,169890279,
501625,16130780,
501626,86158652,
501627,3024140,P78055
501628,81175315,P0AB87
501629,417641,P32169
501630,16129727,
501631,2501217,
501632,254037677,
501633,67473132,
501634,2501357,
501635,67462169,
501636,2507037,
501637,62288047,
501638,67462119,
501639,2495546,
501640,3025060,
501641,84027896,
501642,16131451,
501643,226308763,
501644,67516663,
501645,89067905,
501646,239931370,
501647,260777588,
501648,239987277,
501649,291443578,
501650,163796514,
501651,146193937,
501652,187924196,
501653,167737314,
501654,126438652,
501655,67760911,
501656,295681278,
501657,167841343,
501658,229247715,
501659,225420042,
501660,29541844,
501661,118731419,
501662,146310593,
501663,257873658,
501664,257877403,
501665,293571892,
501666,44251663,
501667,44489994,
501668,307543735,
501669,84497603,
501670,152981406,
501671,298242369,
501672,229555129,
501673,119475005,
501674,152994080,
501675,251795209,
501676,291616145,
501677,226361820,
501678,226363059,
501679,207856886,
501680,293394152,
501681,150377877,
501682,116622344,
501683,94497565,
501684,148554805,
501685,297162416,
501686,302562714,
501687,302527985,
501688,295835724,
501689,307327104,
501690,227828579,
501691,239820011,
501692,269959309,
501693,148871215,
501694,149187547,
501695,289668507,
501696,50401604,Q8NJR2
501697,,
501698,,
501699,,
501700,,
501701,74666044,Q4W929
501702,74666714,Q4WB03
501703,74666905,Q4WBJ4
501704,74668679,Q4WGM0
501705,74669452,Q4WIU8
501706,74670135,Q4WKT3
501707,74671937,Q4WQZ2
501708,74674057,Q4WX20
501709,,
501710,74627809,Q5MBU2
501711,121927984,Q2TYQ8
501712,121938401,Q2UAA3
501713,121938421,Q2UBE4
501714,121923290,Q2UH62
501715,121923292,Q2UH86
501716,121933268,Q2UHQ5
501717,121938498,Q2UI89
501718,121928196,Q2UDM7
501719,121928291,Q2UJX0
501720,121938537,Q2ULZ1
501721,,
501722,74679729,Q59U36
501723,74679878,Q5A0X5
501724,,
501725,74584609,Q59QS1
501726,74608700,Q6FL96
501727,121937741,Q2GRK5
501728,121927592,Q2GXH0
501729,121937915,Q2H3B8
501730,121922728,Q2H3S7
501731,121922811,Q2HA04
501732,121927775,Q2HBP8
501733,121922921,Q2HH12
501734,121922925,Q2HHC1
501735,121927822,Q2HFW7
501736,74683129,Q5KAZ1
501737,74641814,Q55S97
501738,74643835,Q55ZV5
501739,74682578,Q5K9D4
501740,74683547,Q5KC66
501741,74684843,Q5KFZ4
501742,74688858,Q6BR68
501743,74602389,Q6BRH6
501744,74688873,Q6BRH7
501745,218511881,Q6BM74
501746,74604143,Q6BZK4
501747,74698559,Q9Y727
501748,232215,P30102
501749,74690247,Q6CR61
501750,54036608,Q96X43
501751,,
501752,,
501753,,
501754,,
501755,,
501756,,
501757,544232,P36008
501758,74676117,O74830
501759,74582914,O94524
501760,,
501761,,
501762,,
501763,,
501764,,
501765,,
501766,,
501767,,
501768,,
501769,,
501770,,
501771,,
501772,,
501773,,
501774,,
501775,,
501776,,
501777,,
501778,,
501779,,
501780,,
501781,,
501782,,
501783,,
501784,,
501785,,
501786,,
501787,,
501788,,
501789,,
501790,,
501791,,
501792,,
501793,,
501794,,
501795,,
501796,,
501797,,
501798,,
501799,,
501800,,
501801,,
501802,,
501803,,
501804,,
501805,,
501806,,
501807,,
501808,,
501809,,
501810,,
501811,,
501812,,
501813,,
501814,,
501815,,
501816,,
501817,,
501818,,
501819,,
501820,,
501821,,
501822,,
501823,,
501824,,
501825,,
501826,,
501827,,
501828,,
501830,,
501831,,
501832,,
501833,,
501834,,
501835,,
501836,,
501837,,
501838,,
501839,,
501840,,
501841,,
501842,,
501843,,
501844,,
501845,,
501846,,
501847,,
501848,,
501849,,
501850,,
501851,,
501852,,
501853,,
501854,,
501855,,
501856,,
501857,,
501858,,
501859,,
501860,,
501861,,
501862,,
501863,,
501864,,
501865,,
501866,,
501867,,
501868,,
501869,,
501870,,
501871,,
501872,,
501874,,
501875,,
501876,,
501877,,
501879,,
501880,,
501881,,
501882,,
501883,,
501884,,
501885,,
501887,,
501888,,
501889,,
501890,,
501891,,
501893,,
501894,,
501895,,
501896,,
501897,15616657,
501898,15616723,
501899,33519916,
501900,33520019,
501901,33520021,
501902,238897427,
501903,238898406,
501904,238899001,
501905,238899313,
501906,295698241,
501907,295698258,
501908,295698461,
501909,32491020,
501910,,
501912,,
501913,,
501914,,
501915,,
501916,,
501917,,
501918,,
501919,,
501920,,
501921,,
501922,,
501923,,
501924,,
501925,,
501926,,
501927,,
501928,,
501929,,
501930,,
501931,,
501932,,
501933,,
501934,,
501935,,
501936,,
501937,,
501938,,
501939,,
501940,,
501941,,
501942,,
501943,,
501944,,
501945,,
501946,,
501947,70983303,Q6CM36
501948,,
501949,,A5E2T5
501950,,
501951,,
501952,,
501953,,
501954,,
501955,,A4J6I0
501956,,
501957,,
501958,,
501959,,
501960,,
501961,,
501962,,
501963,,
501964,,
501965,,A1W4U8
501966,,A0JZN8
501967,,
501968,,
501969,,
501970,,
501971,,A3NK44
501972,,
501973,,
501974,,
501975,,
501976,,
501977,,
501978,,
501979,,
501980,,
501981,,A7IAG2
501982,,A0QJF8
501983,,
501984,,
501985,,
501986,,
501987,,
501988,,
501989,,A4SE05
501990,,
501991,,
501992,,A3MSH1
501993,,A3MX09
501994,,A8GSF9
501995,,A4FGS5
501996,,
501997,,
501998,,A6Q6L6
501999,,
502000,,
502001,,
502002,,
502003,,
502004,,
502005,,
502006,,
502007,,
502008,,
502009,,
502010,154276198,
502011,154968291,
502012,70983303,
502013,70983311,
502014,169767172,
502015,115492559,
502016,154322296,
502017,310801513,
502018,157382477,
502019,46403064,
502020,308912510,
502021,258567898,
502022,238623516,
502023,297242528,
502024,309392373,
502025,153799390,
502026,256812719,
502027,153799420,
502028,88602309,
502029,88604126,
502030,88602391,
502031,169627416,
502032,169628258,
502033,153011895,
502034,153009386,
502037,121609604,
502038,121609817,
502039,229819979,
502040,229819515,
502041,229819142,
502042,229819146,
502043,229819141,
502044,229819140,
502045,196231604,
502046,196232892,
502047,300767614,
502048,300767109,
502049,300768083,
502050,254167160,
502051,254167651,
502052,167746721,
502053,167747909,
502054,167745846,
502055,298385807,
502056,284043557,
502057,284046679,
502058,284044209,
502059,219670711,
502060,219668110,
502061,89893735,
502062,89897584,
502063,303325820,
502064,303325691,
502065,284030340,
502066,284030337,
502067,284030341,
502068,42519171,
502069,42518800,
502070,42519286,
502071,220926281,
502072,220914679,
502073,170738489,
502074,170743958,
502075,251794586,
502076,253576219,
502077,253575493,
502078,149174960,
502079,149174776,
502080,296134944,
502081,296136722,
502082,296136168,
502083,294338925,
502084,294340878,
502085,294340403,
502086,159184240,
502087,15890855,
502088,16119686,
502089,16078161,
502091,,Q3HKK5
502095,21225834,
502098,193506836,Q987E0
502100,226887992,Q92YR6
502101,114764387,
502103,,Q981H6
502104,,Q92ZS5
502105,,Q2U1E8
502107,,Q5P025
502108,157835928,
502109,,Q1AYK7
502111,,Q9WXM1
502112,,Q5SJX8
502114,92115090,
502116,,Q7WJN4
502117,193506836,
502119,,Q5LT20
502120,226887992,
502121,,Q7WEE8
502122,,Q5LM96
502123,,Q28SI7
502124,159897643,
502125,254471413,
502126,157963063,
502127,88854861,
502128,239617080,
502129,119382998,
502130,261407175,
502131,158422443,
502132,89067890,
502133,260777586,
502134,260777585,
502135,239987284,
502136,29654578,
502137,257873654,
502138,257873655,
502139,257873653,
502140,92115095,
502141,92115096,
502142,84497601,
502143,84497602,
502144,84497604,
502145,229555131,
502146,299821223,
502147,226361817,
502148,226361816,
502149,148554806,
502150,148554799,
502151,148554803,
502152,269959311,
502153,269959312,
502154,149187553,
502155,148974189,
502156,148974190,
502161,192362413,
502165,256782149,
502166,166714048,
502167,285016881,
502168,172064145,
502169,172064142,
502170,242240054,
502171,242240056,
502172,220911777,
502173,220911781,
502174,118472556,
502175,297562219,
502176,225872772,
502177,225872775,
502178,257054780,
502179,257054781,
502180,257054782,
502181,257054774,
502182,89096601,
502183,89096600,
502184,134101466,
502185,134101465,
502186,134101470,
502187,134101469,
502188,152966093,
502189,152966096,
502190,152966097,
502191,152966095,
502192,258654412,
502193,258654413,
502194,258654410,
502195,119962615,
502196,119962039,
502197,255034808,
502198,255034809,
502199,284038813,
502200,284038814,
502201,27382736,
502202,146341131,
502203,256378173,
502204,256379068,
502205,220911565,
502206,229821797,
502207,229819406,
502208,187919427,
502209,16124787,
502210,16127044,
502211,295690675,
502212,295688403,
502214,167645392,
502215,167645799,
502216,225388391,
502217,225386293,
502218,160936588,
502219,160937876,
502220,260597995,
502221,260424418,
502222,242238395,
502223,242237650,
502224,255035168,
502225,146311585,
502226,257869813,
502227,257870442,
502228,170768028,
502229,170765914,
502230,300937133,
502231,300939771,
